input_id,prompt_id,arcface_cosine_face1,arcface_cosine_face2,clip_t,psnr,ssim
img_101.webp,prompt_19,3.08%,45.82%,29.37%,0,0.00%
img_101.webp,prompt_20,2.10%,46.74%,30.00%,0,0.00%
img_101.webp,prompt_21,2.42%,51.04%,28.93%,0,0.00%
img_101.webp,prompt_22,1.41%,37.81%,30.00%,0,0.00%
img_101.webp,prompt_23,1.38%,43.23%,30.26%,0,0.00%
img_101.webp,prompt_24,5.17%,38.48%,31.25%,0,0.00%
img_101.webp,prompt_25,7.13%,46.47%,30.30%,0,0.00%
img_101.webp,prompt_26,3.34%,40.23%,27.66%,0,0.00%
img_101.webp,prompt_27,1.01%,49.03%,29.63%,0,0.00%
img_101.webp,prompt_28,3.34%,40.23%,25.61%,0,0.00%
img_101.webp,prompt_29,6.11%,44.82%,29.86%,0,0.00%
img_101.webp,prompt_30,1.44%,46.58%,29.62%,0,0.00%
img_101.webp,prompt_31,17.65%,53.97%,29.45%,0,0.00%
img_101.webp,prompt_32,2.91%,41.56%,32.48%,0,0.00%
img_101.webp,prompt_33,3.34%,40.23%,28.00%,0,0.00%
img_101.webp,prompt_34,5.77%,45.03%,25.40%,0,0.00%
img_101.webp,prompt_35,3.34%,40.23%,25.11%,0,0.00%
img_101.webp,prompt_36,5.26%,45.02%,33.86%,0,0.00%
img_101.webp,prompt_37,5.61%,54.24%,31.54%,0,0.00%
img_101.webp,prompt_38,0.03%,43.74%,30.27%,0,0.00%
img_101.webp,prompt_39,3.34%,40.23%,33.00%,0,0.00%
img_101.webp,prompt_40,10.56%,57.24%,32.03%,0,0.00%
img_101.webp,prompt_41,1.59%,40.78%,30.05%,0,0.00%
img_102.webp,prompt_01,3.47%,41.40%,27.21%,0,0.00%
img_102.webp,prompt_02,4.61%,40.50%,30.16%,0,0.00%
img_102.webp,prompt_03,3.62%,37.72%,34.02%,0,0.00%
img_102.webp,prompt_04,4.16%,47.21%,30.01%,0,0.00%
img_102.webp,prompt_05,2.82%,36.37%,37.55%,0,0.00%
img_102.webp,prompt_06,2.18%,47.95%,32.94%,0,0.00%
img_102.webp,prompt_07,1.71%,38.41%,35.05%,0,0.00%
img_102.webp,prompt_08,3.65%,36.93%,32.76%,0,0.00%
img_102.webp,prompt_09,8.10%,38.99%,37.14%,0,0.00%
img_102.webp,prompt_10,4.27%,38.32%,31.90%,0,0.00%
img_102.webp,prompt_11,8.07%,36.96%,32.27%,0,0.00%
img_102.webp,prompt_12,4.28%,41.47%,31.91%,0,0.00%
img_102.webp,prompt_13,1.75%,45.88%,32.78%,0,0.00%
img_102.webp,prompt_14,8.65%,36.80%,30.95%,0,0.00%
img_102.webp,prompt_15,3.75%,44.86%,32.86%,0,0.00%
img_102.webp,prompt_16,0.02%,24.40%,34.50%,0,0.00%
img_102.webp,prompt_17,3.59%,42.42%,33.19%,0,0.00%
img_102.webp,prompt_18,0.35%,28.53%,34.54%,0,0.00%
img_102.webp,prompt_19,1.80%,32.15%,31.27%,0,0.00%
img_102.webp,prompt_20,0.79%,39.65%,31.89%,0,0.00%
img_102.webp,prompt_21,2.71%,40.32%,32.60%,0,0.00%
img_102.webp,prompt_22,0.20%,30.18%,29.85%,0,0.00%
img_102.webp,prompt_23,0.81%,42.79%,30.67%,0,0.00%
img_102.webp,prompt_24,6.07%,45.06%,29.01%,0,0.00%
img_102.webp,prompt_25,8.70%,37.25%,33.76%,0,0.00%
img_102.webp,prompt_26,9.45%,39.81%,26.84%,0,0.00%
img_102.webp,prompt_27,1.05%,37.69%,31.28%,0,0.00%
img_102.webp,prompt_28,1.58%,38.21%,28.57%,0,0.00%
img_102.webp,prompt_29,0.05%,36.79%,29.76%,0,0.00%
img_102.webp,prompt_30,11.94%,31.57%,30.79%,0,0.00%
img_102.webp,prompt_31,0.19%,40.13%,24.97%,0,0.00%
img_102.webp,prompt_32,15.55%,35.02%,32.38%,0,0.00%
img_102.webp,prompt_33,1.87%,27.00%,29.93%,0,0.00%
img_102.webp,prompt_34,1.85%,38.88%,26.47%,0,0.00%
img_102.webp,prompt_35,3.34%,40.23%,30.30%,0,0.00%
img_102.webp,prompt_36,7.59%,30.89%,32.85%,0,0.00%
img_102.webp,prompt_37,8.73%,38.47%,32.11%,0,0.00%
img_102.webp,prompt_38,3.06%,39.26%,29.81%,0,0.00%
img_102.webp,prompt_39,6.67%,27.89%,31.13%,0,0.00%
img_102.webp,prompt_40,0.27%,38.98%,27.91%,0,0.00%
img_102.webp,prompt_41,7.41%,38.05%,32.32%,0,0.00%
img_103.webp,prompt_01,1.83%,33.81%,24.12%,0,0.00%
img_103.webp,prompt_02,0.17%,24.91%,30.41%,0,0.00%
img_103.webp,prompt_03,6.61%,40.75%,32.40%,0,0.00%
img_103.webp,prompt_04,1.84%,42.68%,34.95%,0,0.00%
img_103.webp,prompt_05,4.35%,33.37%,37.18%,0,0.00%
img_103.webp,prompt_06,6.20%,45.98%,32.57%,0,0.00%
img_103.webp,prompt_07,1.70%,41.59%,33.02%,0,0.00%
img_103.webp,prompt_08,1.30%,40.54%,29.30%,0,0.00%
img_103.webp,prompt_09,9.21%,39.67%,36.86%,0,0.00%
img_103.webp,prompt_10,8.56%,41.03%,30.64%,0,0.00%
img_103.webp,prompt_11,10.88%,31.25%,33.30%,0,0.00%
img_103.webp,prompt_12,8.06%,29.71%,32.49%,0,0.00%
img_103.webp,prompt_13,10.67%,34.88%,30.56%,0,0.00%
img_103.webp,prompt_14,9.77%,43.59%,30.22%,0,0.00%
img_103.webp,prompt_15,6.27%,28.47%,34.55%,0,0.00%
img_103.webp,prompt_16,6.37%,29.35%,33.16%,0,0.00%
img_103.webp,prompt_17,1.05%,34.76%,33.20%,0,0.00%
img_103.webp,prompt_18,10.89%,34.70%,30.06%,0,0.00%
img_103.webp,prompt_19,1.73%,34.42%,31.56%,0,0.00%
img_103.webp,prompt_20,1.23%,33.30%,29.57%,0,0.00%
img_103.webp,prompt_21,1.18%,36.98%,30.19%,0,0.00%
img_103.webp,prompt_22,6.88%,15.53%,28.24%,0,0.00%
img_103.webp,prompt_23,9.17%,35.78%,30.54%,0,0.00%
img_103.webp,prompt_24,10.65%,41.26%,29.60%,0,0.00%
img_103.webp,prompt_25,0.06%,34.92%,27.70%,0,0.00%
img_103.webp,prompt_26,0.64%,40.59%,26.99%,0,0.00%
img_103.webp,prompt_27,3.03%,26.28%,29.32%,0,0.00%
img_103.webp,prompt_28,7.96%,34.17%,29.49%,0,0.00%
img_103.webp,prompt_29,14.88%,37.74%,32.34%,0,0.00%
img_103.webp,prompt_30,2.22%,26.81%,28.46%,0,0.00%
img_103.webp,prompt_31,9.20%,39.23%,31.38%,0,0.00%
img_103.webp,prompt_32,3.34%,40.23%,31.11%,0,0.00%
img_103.webp,prompt_33,5.47%,29.91%,30.18%,0,0.00%
img_103.webp,prompt_34,5.79%,41.05%,25.54%,0,0.00%
img_103.webp,prompt_35,3.20%,43.40%,30.03%,0,0.00%
img_103.webp,prompt_36,0.92%,26.56%,35.47%,0,0.00%
img_103.webp,prompt_37,5.22%,42.21%,31.56%,0,0.00%
img_103.webp,prompt_38,1.79%,30.18%,32.32%,0,0.00%
img_103.webp,prompt_39,8.51%,27.62%,33.09%,0,0.00%
img_103.webp,prompt_40,0.45%,40.28%,29.71%,0,0.00%
img_103.webp,prompt_41,2.36%,38.64%,31.04%,0,0.00%
